student_id,department,semester,cgpa,tenth_pct,twelfth_pct,backlogs,projects_count,internships_count,open_source_contributions,aptitude_score,soft_skill_rating,hackathons_attended,leadership_roles,known_languages,certifications,target_role,placement_probability_label
STU_0031,MECH,5,9.56,79.11,88.69,1,5,0,0,67.74,6.51,0,0,Python,DBMS,Full-Stack Developer,100.0
STU_0032,ISE,5,6.75,74.47,79.82,2,0,0,0,96.59,6.85,2,2,Go|SQL|JavaScript,Data Science|DBMS|AWS,QA Specialist,100.0
STU_0033,CSE,3,6.64,78.41,73.5,0,1,0,0,83.61,8.23,0,0,C++|Python|Go,,Cloud/DevOps Engineer,85.92
STU_0034,CSE,4,6.3,85.62,82.37,1,1,0,2,76.78,4.12,0,0,Python,,Cloud/DevOps Engineer,77.61
STU_0035,CIVIL,7,7.88,69.47,73.25,1,5,2,0,50.57,6.55,1,0,Java|Go,,Data Analyst,100.0
STU_0036,ISE,7,8.44,87.1,77.99,2,3,1,0,57.31,4.87,0,1,SQL|Java,Data Science,Cloud/DevOps Engineer,97.63
STU_0037,CSE,3,7.07,77.69,86.88,0,1,1,1,63.58,7.26,1,0,Python|C++,,QA Specialist,96.53
STU_0038,ISE,3,6.28,91.18,72.98,1,1,2,2,53.37,7.67,0,0,C++,,Cloud/DevOps Engineer,100.0
STU_0039,CSE,7,6.29,62.85,85.25,0,2,0,2,72.51,8.43,2,0,Python,Cybersecurity|Full-Stack,QA Specialist,100.0
STU_0040,ECE,4,7.92,75.71,84.1,0,4,0,1,70.35,5.7,0,0,SQL|Python,Azure|Data Science,Cloud/DevOps Engineer,100.0
STU_0041,ECE,6,8.02,68.51,69.41,0,1,1,0,48.68,7.89,1,1,Python|Java|Go,DBMS,Data Analyst,100.0
STU_0042,ISE,7,7.8,75.39,86.77,2,1,2,0,82.95,8.54,0,0,Go,,Cloud/DevOps Engineer,85.79
STU_0043,MECH,7,6.47,83.98,84.29,1,5,0,0,66.53,4.04,2,0,Python|Go|C++,,QA Specialist,91.82
STU_0044,ECE,6,7.46,80.57,78.92,0,1,1,0,39.06,7.42,1,0,SQL|Java,,QA Specialist,83.29
STU_0045,CIVIL,5,7.33,79.97,71.14,2,2,0,1,64.23,7.94,1,0,Go|JavaScript|Python,,Data Analyst,83.37
STU_0046,MECH,7,7.44,80.73,70.27,0,5,1,0,69.22,6.11,0,0,SQL,AWS,Cloud/DevOps Engineer,100.0
STU_0047,CSE,7,8.16,83.63,73.16,1,2,0,1,79.59,4.68,1,0,Java|Python|Go,DSA|Full-Stack|Azure,QA Specialist,100.0
STU_0048,ISE,8,7.45,73.93,82.88,0,7,1,1,59.94,7.91,2,0,SQL|Python,Full-Stack|Data Science,Cloud/DevOps Engineer,100.0
STU_0049,MECH,6,7.95,87.65,69.4,0,2,0,2,77.42,4.7,2,1,SQL|JavaScript,,Cloud/DevOps Engineer,93.99
STU_0050,ECE,8,7.27,87.3,81.94,1,1,0,0,67.81,6.23,0,1,Java|Go,AWS|Azure|Data Science,Data Analyst,94.74
STU_0051,MECH,7,7.52,85.08,66.82,0,1,1,0,45.27,6.44,1,1,JavaScript|Go|Python,,QA Specialist,92.44
STU_0052,ISE,3,7.89,86.45,76.16,0,4,0,2,43.77,7.57,1,0,Java|JavaScript|C++,,QA Specialist,100.0
STU_0053,CSE,4,5.6,84.37,78.99,0,2,0,0,81.84,5.56,2,0,Go|SQL,,Full-Stack Developer,88.13
STU_0054,MECH,7,6.85,98.28,100.0,1,4,0,1,82.94,5.47,1,0,Go|Python|JavaScript,Cybersecurity|Data Science,Full-Stack Developer,98.61
STU_0055,MECH,3,6.68,81.3,65.6,1,8,1,1,69.84,6.65,1,1,Java,,Full-Stack Developer,100.0
STU_0056,MECH,7,6.5,79.54,91.25,1,4,2,0,87.44,8.01,0,0,Python|Java,DBMS|Data Science,Data Analyst,100.0
STU_0057,ECE,5,6.9,75.97,79.35,0,2,2,0,80.85,9.93,0,1,Java|Go|JavaScript,Full-Stack,Full-Stack Developer,100.0
STU_0058,CSE,4,8.84,73.74,81.7,1,2,0,0,75.25,4.24,1,2,Python|C++|Go,Cybersecurity|Full-Stack|Azure,QA Specialist,100.0
STU_0059,MECH,6,6.25,72.04,79.07,2,2,2,0,51.33,6.97,0,1,JavaScript,DBMS|Cybersecurity|Data Science,QA Specialist,99.77
STU_0060,MECH,8,8.27,74.89,82.0,1,3,1,2,90.97,4.87,0,0,Go|Python,,Full-Stack Developer,100.0
STU_0061,MECH,8,5.35,81.43,76.62,0,3,2,0,73.04,8.03,0,1,JavaScript,AWS,QA Specialist,100.0
STU_0062,CSE,5,6.83,84.67,91.09,1,4,0,0,59.21,5.09,0,0,JavaScript|Python,,Full-Stack Developer,73.21
STU_0063,MECH,3,7.38,82.41,73.89,3,2,0,1,54.98,5.49,1,0,C++|SQL,,QA Specialist,66.12
STU_0064,MECH,8,7.84,75.88,88.19,0,2,1,0,68.85,5.62,0,0,JavaScript,,Data Analyst,100.0
STU_0065,CIVIL,8,7.98,89.2,72.2,0,4,1,0,39.93,6.39,2,0,Go|Java,,Full-Stack Developer,100.0
STU_0066,ECE,6,8.07,87.92,77.46,0,5,0,1,75.5,6.98,0,0,Go|Python|C++,,Data Analyst,100.0
STU_0067,MECH,6,6.82,80.72,68.35,1,4,1,0,50.7,7.23,0,1,Python|JavaScript|C++,Full-Stack,QA Specialist,100.0
STU_0068,ECE,6,6.69,76.78,82.1,0,4,1,1,70.56,6.49,1,1,Go,Data Science|Azure,QA Specialist,100.0
STU_0069,MECH,3,8.14,86.39,91.01,1,3,1,0,57.18,4.51,0,0,Python|JavaScript|C++,,Full-Stack Developer,93.79
STU_0070,MECH,3,6.99,83.5,77.3,0,1,2,0,61.03,7.59,1,0,SQL|C++,DBMS,QA Specialist,100.0
STU_0071,MECH,3,5.8,70.41,76.23,0,4,0,1,53.65,6.42,0,0,Java|SQL|C++,,Data Analyst,85.78
STU_0072,CIVIL,8,5.95,81.46,67.97,2,3,0,0,62.58,8.24,0,0,JavaScript|Go|Python,Cybersecurity,Data Analyst,80.48
STU_0073,CSE,3,6.19,84.1,75.94,3,1,1,0,93.34,5.44,2,0,JavaScript|Java|Python,,Full-Stack Developer,74.97
STU_0074,MECH,6,7.75,74.8,63.66,0,2,0,1,85.78,4.1,1,0,JavaScript,Data Science|Full-Stack|DSA,QA Specialist,100.0
STU_0075,MECH,5,7.36,83.52,69.78,1,2,0,0,70.32,6.45,4,0,C++|Python,DBMS|Azure,QA Specialist,100.0
STU_0076,ECE,3,7.96,70.36,80.04,2,2,1,1,64.62,8.44,0,0,Java,,Cloud/DevOps Engineer,100.0
STU_0077,ECE,8,6.73,92.69,89.87,3,2,1,0,77.66,6.74,1,0,JavaScript|C++,,Cloud/DevOps Engineer,75.58
STU_0078,MECH,3,7.37,91.98,100.0,2,3,2,0,81.95,6.2,1,0,SQL|Python|JavaScript,,QA Specialist,100.0
STU_0079,ECE,8,7.89,79.98,72.72,2,3,0,1,52.55,5.19,0,0,Go|SQL|Python,Azure,Full-Stack Developer,90.24
STU_0080,ECE,7,6.86,84.91,90.92,0,2,0,0,63.84,9.14,2,0,Go|C++,Azure|AWS|Data Science,Full-Stack Developer,100.0
STU_0081,CIVIL,7,7.7,62.72,80.19,0,1,1,0,37.67,4.96,0,0,Python|SQL,,Full-Stack Developer,92.92
STU_0082,MECH,3,6.47,72.75,76.64,1,3,2,0,81.85,5.41,2,0,C++,,Data Analyst,100.0
STU_0083,ISE,8,6.8,79.65,81.89,1,8,1,2,95.98,7.36,1,1,Java,DSA|DBMS|Full-Stack,Data Analyst,100.0
STU_0084,CIVIL,6,6.78,73.42,78.56,2,1,1,1,66.2,3.72,0,1,SQL|Java|C++,Data Science,Full-Stack Developer,67.73
STU_0085,ISE,5,5.88,87.72,78.99,2,5,2,0,33.12,8.41,2,2,Python|SQL,Cybersecurity|Data Science|DBMS,Cloud/DevOps Engineer,100.0
STU_0086,CSE,7,7.74,97.98,74.33,0,2,1,0,74.13,7.44,1,1,C++|Go|SQL,,Full-Stack Developer,100.0
STU_0087,CIVIL,5,6.68,72.59,65.42,5,4,1,1,51.44,7.85,2,0,Java,DSA|DBMS|Full-Stack,QA Specialist,100.0
STU_0088,ISE,4,7.21,75.3,64.11,1,1,1,1,55.05,7.34,0,0,Python|JavaScript|Java,DBMS,Cloud/DevOps Engineer,99.05
STU_0089,ISE,4,7.73,83.88,83.88,1,1,0,1,74.4,6.26,1,0,JavaScript,Azure,QA Specialist,100.0
STU_0090,ISE,6,7.69,94.89,75.51,0,1,1,2,68.82,4.91,0,2,Java,Azure,Full-Stack Developer,100.0
STU_0091,ECE,6,7.93,72.22,72.64,1,5,3,1,57.68,6.29,2,1,SQL,DSA|Cybersecurity|Azure,QA Specialist,100.0
STU_0092,CSE,4,7.09,83.99,78.08,1,0,1,0,55.26,5.04,0,0,SQL,DBMS,Cloud/DevOps Engineer,88.34
STU_0093,CSE,4,6.73,96.57,85.15,2,5,0,0,66.89,7.23,2,1,C++|Go,,QA Specialist,88.83
STU_0094,ISE,8,7.11,68.79,79.62,1,4,1,1,58.86,7.71,2,0,SQL,DSA|Data Science|DBMS,Cloud/DevOps Engineer,100.0
STU_0095,ISE,6,5.34,71.75,72.1,1,1,0,0,48.36,8.72,0,0,C++|JavaScript|Python,,Cloud/DevOps Engineer,74.36
STU_0096,CSE,8,5.61,78.61,89.04,1,1,0,1,60.01,7.06,0,0,JavaScript|C++,DSA|AWS,Full-Stack Developer,84.3
STU_0097,CIVIL,4,5.75,77.84,92.21,0,2,1,0,70.09,7.89,1,0,Java|C++|JavaScript,,Cloud/DevOps Engineer,94.6
STU_0098,ECE,4,6.1,88.5,82.45,1,0,0,0,62.33,6.05,1,0,Python|Java|SQL,AWS|Azure|DBMS,Data Analyst,77.46
STU_0099,CSE,4,7.64,83.93,86.76,1,2,0,0,43.8,5.78,0,1,SQL|Java,Data Science|Azure,QA Specialist,100.0
STU_0100,CSE,6,6.2,67.8,89.18,0,0,1,0,79.84,7.21,2,0,Java,,Cloud/DevOps Engineer,97.68
STU_0101,CIVIL,7,6.78,86.12,88.17,1,3,3,0,23.92,5.92,1,1,SQL|C++,,Full-Stack Developer,100.0
STU_0102,ISE,6,8.63,77.38,83.53,0,3,1,0,58.3,6.9,0,0,C++|Go|SQL,,QA Specialist,100.0
STU_0103,CSE,4,6.81,92.2,83.39,1,4,0,0,55.7,4.91,0,1,C++|Go,Data Science|Cybersecurity,Full-Stack Developer,94.15
STU_0104,MECH,8,8.01,76.98,82.68,1,3,0,1,67.22,5.18,1,0,Python,Azure,Data Analyst,100.0
STU_0105,CIVIL,6,6.17,76.91,68.12,3,5,1,1,73.42,7.45,0,1,Python|C++,AWS|DSA,Full-Stack Developer,100.0
STU_0106,ISE,5,6.97,86.33,84.31,1,1,3,0,81.9,7.83,0,0,Java|Go,Full-Stack,QA Specialist,100.0
STU_0107,MECH,3,6.15,88.1,65.8,0,3,0,0,54.31,5.02,1,1,C++|Python|JavaScript,,Full-Stack Developer,79.92
STU_0108,ECE,6,6.83,85.58,70.85,0,2,1,1,73.8,7.51,1,0,SQL,Full-Stack|AWS|DBMS,QA Specialist,100.0
STU_0109,CSE,6,8.12,68.52,89.73,0,0,1,0,67.94,5.7,1,0,Java|SQL,Full-Stack|DSA|Azure,Full-Stack Developer,100.0
STU_0110,MECH,8,5.3,86.3,85.56,2,3,2,2,39.33,6.52,0,2,Go|Python|JavaScript,Data Science|Cybersecurity,Cloud/DevOps Engineer,87.36
STU_0111,CIVIL,4,7.68,73.73,91.39,1,5,0,0,93.51,8.63,2,1,Python|JavaScript|Go,DSA,Full-Stack Developer,100.0
STU_0112,CIVIL,3,7.46,83.88,75.55,1,3,1,0,43.42,7.71,1,2,JavaScript|Java,Cybersecurity|DSA,Data Analyst,100.0
STU_0113,CSE,8,6.55,70.61,67.63,1,1,0,0,71.29,7.69,0,0,Python|Java,,Cloud/DevOps Engineer,83.42
STU_0114,ECE,6,5.61,85.57,75.84,2,1,0,1,70.85,9.36,1,0,Go,Full-Stack,Cloud/DevOps Engineer,94.15
STU_0115,MECH,3,7.28,75.55,78.92,1,3,0,0,69.13,5.44,1,0,C++|JavaScript,Full-Stack|Cybersecurity,QA Specialist,86.25
STU_0116,CSE,3,6.62,71.74,78.71,3,2,1,0,57.58,5.02,1,0,C++|JavaScript,,QA Specialist,83.13
STU_0117,CIVIL,5,7.46,87.71,88.2,0,1,1,0,77.41,5.42,1,2,JavaScript,Full-Stack|Data Science,Cloud/DevOps Engineer,100.0
STU_0118,CSE,6,7.22,83.93,74.75,0,1,1,1,41.59,6.12,2,1,Go|C++|Java,,Data Analyst,98.77
STU_0119,ISE,4,8.96,77.09,81.17,0,2,1,0,64.01,2.97,0,0,Go,,Data Analyst,90.66
STU_0120,CIVIL,5,6.94,93.61,69.1,0,1,1,0,56.54,6.19,0,0,Java,,QA Specialist,95.8
STU_0121,ECE,7,6.07,78.47,82.05,0,3,0,0,54.84,5.68,0,0,SQL|C++,,Cloud/DevOps Engineer,82.45
STU_0122,MECH,8,7.4,82.26,78.03,1,0,0,0,71.43,7.68,1,0,JavaScript,Full-Stack,QA Specialist,88.63
STU_0123,ECE,5,7.44,84.15,71.25,0,2,2,0,81.16,7.03,2,1,Python,DBMS|Azure,Data Analyst,100.0
STU_0124,MECH,5,8.7,77.04,75.88,2,3,0,1,59.85,5.6,0,0,Python|Java,AWS|Data Science|Cybersecurity,Data Analyst,100.0
STU_0125,CSE,5,8.12,85.77,76.34,2,3,1,2,76.71,7.38,0,0,C++|Go|Java,Full-Stack,QA Specialist,100.0
STU_0126,MECH,3,7.59,77.73,75.57,1,4,0,0,65.75,7.58,1,0,Go|Python,Full-Stack|DBMS|AWS,Cloud/DevOps Engineer,100.0
STU_0127,CSE,3,8.81,78.71,93.94,0,4,1,0,51.61,5.35,0,2,Python,Data Science|Azure,Full-Stack Developer,100.0
STU_0128,CSE,8,5.89,92.9,77.11,0,3,1,1,61.13,5.76,3,0,Java|SQL,,Cloud/DevOps Engineer,100.0
STU_0129,ECE,3,6.5,73.68,75.8,1,3,0,0,60.51,3.16,1,0,Python|SQL|JavaScript,,Full-Stack Developer,70.01
STU_0130,ECE,7,6.18,62.7,59.12,1,2,0,0,54.55,4.86,1,1,Java|JavaScript,Azure|Cybersecurity,QA Specialist,92.96
STU_0131,CSE,4,6.77,94.89,69.95,0,2,1,0,71.43,5.39,3,0,SQL|Python|Go,DSA,Full-Stack Developer,100.0
STU_0132,MECH,7,5.69,100.0,75.63,0,2,2,1,68.52,6.61,1,0,Java|SQL|Go,,QA Specialist,100.0
STU_0133,ISE,8,7.9,78.76,71.83,1,4,0,0,41.14,5.08,1,0,JavaScript|SQL|Java,Cybersecurity|DBMS|Data Science,QA Specialist,100.0
STU_0134,CIVIL,7,6.96,66.51,90.44,2,2,0,1,40.23,5.73,0,0,JavaScript|C++|Go,,Full-Stack Developer,69.9
STU_0135,CSE,7,5.58,79.52,76.52,1,4,0,0,71.37,4.66,1,0,JavaScript,Azure|DSA,Cloud/DevOps Engineer,73.31
STU_0136,ISE,4,6.08,79.71,89.6,0,1,2,0,52.77,6.76,1,0,Go|JavaScript,DSA|Cybersecurity|Azure,Full-Stack Developer,100.0
STU_0137,ISE,6,7.54,80.48,78.56,2,3,1,1,69.53,7.14,1,0,JavaScript|Python|C++,,Data Analyst,90.63
STU_0138,ECE,6,8.12,73.09,78.34,1,2,0,0,76.71,7.1,0,0,JavaScript|C++|SQL,Cybersecurity|Data Science,Data Analyst,100.0
STU_0139,ECE,5,9.4,86.64,77.2,1,4,0,1,45.94,6.52,1,0,Go,,Cloud/DevOps Engineer,100.0
STU_0140,CSE,3,10.0,86.2,78.03,1,2,1,0,43.83,4.19,1,0,SQL|C++,DBMS|AWS,QA Specialist,100.0
STU_0141,ECE,8,7.66,70.04,93.47,0,1,0,1,90.12,5.57,0,2,Python,Data Science|DSA,Data Analyst,100.0
STU_0142,CIVIL,4,6.11,87.59,57.12,2,0,1,2,70.27,5.89,1,1,Python|JavaScript|Go,,Data Analyst,72.9
STU_0143,CSE,8,4.85,98.42,59.99,0,4,0,1,58.71,5.9,2,1,Java|C++,Azure|AWS|Full-Stack,Full-Stack Developer,99.96
STU_0144,ISE,8,7.49,83.38,73.11,0,3,0,0,50.99,6.61,1,0,SQL|JavaScript|C++,DBMS|Full-Stack,QA Specialist,100.0
STU_0145,ECE,3,6.31,79.3,78.13,0,2,1,0,57.34,8.64,1,0,C++|JavaScript|SQL,Azure|AWS|Data Science,Data Analyst,100.0
STU_0146,MECH,7,6.74,80.86,84.21,0,2,0,1,47.14,7.72,2,1,C++|SQL|Python,Data Science|DBMS|Azure,Data Analyst,96.62
STU_0147,CSE,6,6.53,86.92,82.26,0,7,1,0,78.25,5.02,1,0,JavaScript,Data Science|Cybersecurity,Full-Stack Developer,100.0
STU_0148,ISE,4,7.05,68.15,74.54,0,1,1,4,53.35,7.52,5,0,C++,,Data Analyst,100.0
STU_0149,ISE,7,8.37,83.32,87.17,1,1,0,1,81.4,7.46,3,0,Java,,Cloud/DevOps Engineer,100.0
STU_0150,MECH,3,7.37,78.88,87.27,2,1,0,1,58.99,5.29,1,0,SQL,Full-Stack|Azure,QA Specialist,89.75
STU_0151,CSE,4,7.03,96.78,79.66,1,2,0,1,49.35,7.77,1,0,Python|JavaScript,,Data Analyst,94.55
STU_0152,MECH,8,6.06,80.61,86.66,2,4,0,1,58.61,6.26,0,0,C++|Go|JavaScript,Azure|AWS|DSA,Cloud/DevOps Engineer,93.14
STU_0153,ECE,7,5.36,95.34,80.45,1,2,0,0,25.64,4.39,1,1,Python|SQL|Go,,QA Specialist,46.96
STU_0154,ISE,3,6.67,73.17,72.95,1,2,2,0,63.19,7.18,2,0,SQL|Python|JavaScript,AWS|Data Science,Data Analyst,100.0
STU_0155,CIVIL,3,7.14,86.7,84.28,1,3,1,0,62.45,6.83,1,1,Python|JavaScript|C++,DBMS,Data Analyst,100.0
STU_0156,CIVIL,4,9.14,84.56,79.0,2,2,1,1,77.37,6.16,2,1,Python|SQL,,Full-Stack Developer,100.0
STU_0157,CIVIL,3,7.34,75.05,78.01,1,0,0,0,36.71,6.44,1,0,C++|Python,DSA,QA Specialist,75.12
STU_0158,CIVIL,4,8.28,83.42,91.26,0,5,0,0,82.43,5.42,2,0,Java|SQL,Azure|Cybersecurity,Full-Stack Developer,100.0
STU_0159,ISE,6,6.65,91.7,55.94,0,2,0,0,77.31,7.42,1,0,Go,,Full-Stack Developer,88.8
STU_0160,CIVIL,3,5.9,79.41,65.24,0,1,0,1,83.78,6.43,1,0,C++|Go|Java,AWS,Full-Stack Developer,100.0
STU_0161,CSE,4,6.14,68.46,67.32,0,3,2,0,64.21,6.75,0,0,SQL,Data Science|DSA|Full-Stack,Cloud/DevOps Engineer,100.0
STU_0162,ISE,4,6.4,81.86,74.73,0,1,0,0,80.21,7.04,1,0,Python,,Data Analyst,88.76
STU_0163,ECE,8,9.54,74.78,75.71,2,3,0,0,42.93,4.77,2,0,Go,,Cloud/DevOps Engineer,90.74
STU_0164,MECH,8,6.3,79.26,64.43,1,1,0,1,75.7,5.16,0,0,JavaScript|C++|Java,,Cloud/DevOps Engineer,69.47
STU_0165,ECE,8,8.12,81.35,69.13,1,1,1,0,53.43,3.19,2,0,JavaScript,Cybersecurity|DSA|Azure,Full-Stack Developer,100.0
STU_0166,ECE,5,6.21,68.35,70.25,1,3,3,1,40.23,7.35,1,0,Java,Cybersecurity,Data Analyst,100.0
STU_0167,ISE,6,8.22,69.07,100.0,1,2,1,0,48.14,4.68,1,0,SQL,Data Science,Full-Stack Developer,86.33
STU_0168,ECE,6,7.62,85.86,94.22,1,6,0,0,65.08,6.7,0,1,JavaScript|C++|SQL,DBMS|Azure|Full-Stack,Full-Stack Developer,100.0
STU_0169,ECE,8,7.03,77.82,74.29,2,3,1,1,52.64,7.06,0,0,Python|Java|JavaScript,Data Science|DSA,Data Analyst,100.0
STU_0170,ECE,7,7.16,61.48,74.73,2,5,1,0,70.64,7.4,4,0,Python,Cybersecurity|AWS,Data Analyst,100.0
STU_0171,ECE,8,6.48,88.28,67.66,0,1,0,1,37.88,4.69,0,0,Go|Python,Data Science|Cybersecurity,Full-Stack Developer,92.52
STU_0172,MECH,6,7.69,84.18,60.83,0,2,0,1,33.09,6.4,3,0,JavaScript|SQL|Java,Full-Stack,Data Analyst,100.0
STU_0173,ISE,8,6.7,76.29,76.95,0,3,1,0,85.59,9.01,4,1,JavaScript|Go,,Data Analyst,100.0
STU_0174,CSE,7,5.85,71.47,69.02,3,2,0,1,78.56,9.07,0,0,Python,,QA Specialist,78.91
STU_0175,ISE,7,5.79,88.69,77.24,3,0,0,0,49.26,7.98,1,0,Python|C++,DSA|AWS|DBMS,Cloud/DevOps Engineer,70.4
STU_0176,ECE,6,7.39,84.79,63.6,1,7,2,0,64.96,7.01,2,1,JavaScript|C++|SQL,,Data Analyst,100.0
STU_0177,CSE,5,8.94,100.0,71.14,0,1,1,0,80.29,4.99,0,0,Python|Java|JavaScript,,Data Analyst,100.0
STU_0178,CSE,6,7.38,85.36,79.34,0,1,1,1,71.29,7.58,1,1,Python|Go,Cybersecurity,Full-Stack Developer,100.0
STU_0179,CIVIL,5,7.07,85.1,81.3,4,3,0,0,67.22,6.26,0,0,C++|Java,,Data Analyst,66.84
STU_0180,ISE,6,7.51,80.66,81.76,0,7,1,1,81.43,7.34,1,2,JavaScript|Python|SQL,,Cloud/DevOps Engineer,100.0
STU_0181,MECH,4,8.64,88.53,66.12,1,0,0,0,54.04,5.55,1,1,SQL,Full-Stack|Azure,Full-Stack Developer,90.54
STU_0182,CSE,7,7.44,87.0,85.69,1,1,2,1,65.47,6.24,2,0,JavaScript|Python,Cybersecurity,QA Specialist,100.0
STU_0183,CIVIL,6,6.75,92.01,70.8,0,1,2,1,64.73,6.75,0,0,SQL,Azure|AWS,Cloud/DevOps Engineer,100.0
STU_0184,ISE,7,8.42,77.83,83.7,1,5,1,0,60.91,6.87,2,1,Python,Cybersecurity,QA Specialist,100.0
STU_0185,ISE,4,7.67,78.52,77.9,0,2,1,1,59.15,7.24,0,0,Python|C++|SQL,Data Science,Data Analyst,100.0
STU_0186,MECH,7,8.89,78.17,65.61,0,2,0,0,66.09,5.63,0,0,Python|SQL,DSA|AWS|Cybersecurity,QA Specialist,100.0
STU_0187,ISE,7,7.4,88.33,75.15,0,4,1,0,65.52,4.49,1,0,JavaScript,,Data Analyst,98.8
STU_0188,ECE,3,5.85,93.99,81.29,1,2,2,2,49.27,8.94,1,1,JavaScript|SQL|Python,AWS|DBMS|Full-Stack,QA Specialist,100.0
STU_0189,MECH,5,5.7,78.33,83.52,0,1,0,2,77.03,10.0,3,0,Python|Go,,Cloud/DevOps Engineer,100.0
STU_0190,CSE,7,9.02,78.6,76.73,1,2,0,0,50.35,7.17,1,2,JavaScript,,Cloud/DevOps Engineer,98.74
STU_0191,CSE,8,9.1,84.51,91.79,0,2,0,4,61.73,4.51,0,0,SQL|C++|Java,Azure,Full-Stack Developer,100.0
STU_0192,MECH,7,7.0,80.03,87.07,0,4,0,2,60.57,5.34,1,0,Java|SQL|JavaScript,,QA Specialist,99.61
